"","country","year","sex","age","suicides_no","population"
"435","Antigua and Barbuda",2000,"female","35-54 years",0,11040
"436","Antigua and Barbuda",2000,"female","5-14 years",0,8439
"437","Antigua and Barbuda",2000,"female","55-74 years",0,3986
"438","Antigua and Barbuda",2000,"female","75+ years",0,1413
"439","Antigua and Barbuda",2000,"male","15-24 years",0,5783
"440","Antigua and Barbuda",2000,"male","25-34 years",0,7177
"441","Antigua and Barbuda",2000,"male","35-54 years",1,10033
"442","Antigua and Barbuda",2000,"male","5-14 years",0,7973
"443","Antigua and Barbuda",2000,"male","55-74 years",1,3333
"444","Antigua and Barbuda",2000,"male","75+ years",0,938
"445","Antigua and Barbuda",2001,"female","15-24 years",0,6902
"446","Antigua and Barbuda",2001,"female","25-34 years",0,8425
"447","Antigua and Barbuda",2001,"female","35-54 years",0,11402
"448","Antigua and Barbuda",2001,"female","5-14 years",0,8428
"449","Antigua and Barbuda",2001,"female","55-74 years",0,4037
"450","Antigua and Barbuda",2001,"female","75+ years",0,1487
"451","Antigua and Barbuda",2001,"male","15-24 years",0,6084
"452","Antigua and Barbuda",2001,"male","25-34 years",0,7071
"453","Antigua and Barbuda",2001,"male","35-54 years",2,10281
"454","Antigua and Barbuda",2001,"male","5-14 years",0,7958
"455","Antigua and Barbuda",2001,"male","55-74 years",0,3442
"456","Antigua and Barbuda",2001,"male","75+ years",0,980
"457","Antigua and Barbuda",2002,"female","15-24 years",0,7196
"458","Antigua and Barbuda",2002,"female","25-34 years",0,8155
"459","Antigua and Barbuda",2002,"female","35-54 years",0,11760
"460","Antigua and Barbuda",2002,"female","5-14 years",0,8408
"461","Antigua and Barbuda",2002,"female","55-74 years",0,4050
"462","Antigua and Barbuda",2002,"female","75+ years",0,1547
"463","Antigua and Barbuda",2002,"male","15-24 years",0,6416
"464","Antigua and Barbuda",2002,"male","25-34 years",0,6921
"465","Antigua and Barbuda",2002,"male","35-54 years",0,10604
"466","Antigua and Barbuda",2002,"male","5-14 years",0,7980
"467","Antigua and Barbuda",2002,"male","55-74 years",0,3527
"468","Antigua and Barbuda",2002,"male","75+ years",0,1024
"469","Antigua and Barbuda",2003,"female","15-24 years",0,7454
"470","Antigua and Barbuda",2003,"female","25-34 years",0,7831
"471","Antigua and Barbuda",2003,"female","35-54 years",0,12129
"472","Antigua and Barbuda",2003,"female","5-14 years",0,8423
"473","Antigua and Barbuda",2003,"female","55-74 years",0,4054
"474","Antigua and Barbuda",2003,"female","75+ years",0,1583
"475","Antigua and Barbuda",2003,"male","15-24 years",0,6730
"476","Antigua and Barbuda",2003,"male","25-34 years",0,6734
"477","Antigua and Barbuda",2003,"male","35-54 years",0,10997
"478","Antigua and Barbuda",2003,"male","5-14 years",0,8061
"479","Antigua and Barbuda",2003,"male","55-74 years",1,3594
"480","Antigua and Barbuda",2003,"male","75+ years",0,1068
"481","Antigua and Barbuda",2004,"female","15-24 years",0,7648
"482","Antigua and Barbuda",2004,"female","25-34 years",0,7531
"483","Antigua and Barbuda",2004,"female","35-54 years",0,12492
"484","Antigua and Barbuda",2004,"female","5-14 years",0,8488
"485","Antigua and Barbuda",2004,"female","55-74 years",0,4088
"486","Antigua and Barbuda",2004,"female","75+ years",0,1590
"487","Antigua and Barbuda",2004,"male","15-24 years",0,6968
"488","Antigua and Barbuda",2004,"male","25-34 years",0,6556
"489","Antigua and Barbuda",2004,"male","35-54 years",1,11406
"490","Antigua and Barbuda",2004,"male","5-14 years",0,8196
"491","Antigua and Barbuda",2004,"male","55-74 years",1,3665
"492","Antigua and Barbuda",2004,"male","75+ years",0,1094
"493","Antigua and Barbuda",2005,"female","15-24 years",0,7780
"494","Antigua and Barbuda",2005,"female","25-34 years",0,7327
"495","Antigua and Barbuda",2005,"female","35-54 years",0,12835
"496","Antigua and Barbuda",2005,"female","5-14 years",0,8584
"497","Antigua and Barbuda",2005,"female","55-74 years",0,4157
"498","Antigua and Barbuda",2005,"female","75+ years",0,1575
"499","Antigua and Barbuda",2005,"male","15-24 years",0,7113
"500","Antigua and Barbuda",2005,"male","25-34 years",0,6444
"501","Antigua and Barbuda",2005,"male","35-54 years",0,11778
"502","Antigua and Barbuda",2005,"male","5-14 years",0,8358
"503","Antigua and Barbuda",2005,"male","55-74 years",0,3748
"504","Antigua and Barbuda",2005,"male","75+ years",0,1110
"505","Antigua and Barbuda",2006,"female","15-24 years",0,7902
"506","Antigua and Barbuda",2006,"female","25-34 years",0,7098
"507","Antigua and Barbuda",2006,"female","35-54 years",0,13374
"508","Antigua and Barbuda",2006,"female","5-14 years",0,8571
"509","Antigua and Barbuda",2006,"female","55-74 years",0,4256
"510","Antigua and Barbuda",2006,"female","75+ years",0,1573
"511","Antigua and Barbuda",2006,"male","15-24 years",0,7239
